mean,std,skewness,kurtosis,power_spectral_density,dominant_frequency,label
1.7092289075686156,0,0,0,0.0,0.0,1
1.7445295524373516,0,0,0,0.0,0.0,1
1.2363176238534348,0,0,0,0.0,0.0,1
1.239628135964134,0,0,0,0.0,0.0,1
1.8166977357402416,0,0,0,0.0,0.0,1
1.6740157265603397,0,0,0,0.0,0.0,1
1.4726836125817209,0,0,0,0.0,0.0,1
1.3732375171514437,0,0,0,0.0,0.0,1
1.2304252288118003,0,0,0,0.0,0.0,1
1.5426190283071894,0,0,0,0.0,0.0,1
1.5211212611782652,0,0,0,0.0,0.0,1
1.1627398159284696,0,0,0,0.0,0.0,1
1.2625722877029748,0,0,0,0.0,0.0,1
1.1453921300885623,0,0,0,0.0,0.0,1
1.0646745948653562,0,0,0,0.0,0.0,1
-0.873846887418382,0,0,0,0.0,0.0,1
1.1958504505921135,0,0,0,0.0,0.0,1
1.208865998672968,0,0,0,0.0,0.0,1
0.9551165634610349,0,0,0,0.0,0.0,1
0.9455960043085809,0,0,0,0.0,0.0,1
0.9151866023826071,0,0,0,0.0,0.0,1
0.8070416417470277,0,0,0,0.0,0.0,1
0.8936963921986893,0,0,0,0.0,0.0,1
1.1941032324606453,0,0,0,0.0,0.0,1
1.0084151328098043,0,0,0,0.0,0.0,1
1.0868596807215656,0,0,0,0.0,0.0,1
1.4643485304453627,0,0,0,0.0,0.0,1
1.1483264831557116,0,0,0,0.0,0.0,1
1.1744031658742136,0,0,0,0.0,0.0,1
0.9121355668877258,0,0,0,0.0,0.0,1
1.2324518477857669,0,0,0,0.0,0.0,1
1.2968151488988957,0,0,0,0.0,0.0,1
1.034309742237814,0,0,0,0.0,0.0,1
1.120289060687341,0,0,0,0.0,0.0,1
1.052116082534618,0,0,0,0.0,0.0,1
-0.822178098387016,0,0,0,0.0,0.0,1
-0.018633540695075237,0,0,0,0.0,0.0,1
0.3915630075863691,0,0,0,0.0,0.0,1
0.09400800828272127,0,0,0,0.0,0.0,1
0.36869270028671086,0,0,0,0.0,0.0,1
0.1645626548713125,0,0,0,0.0,0.0,1
0.0019138985068302694,0,0,0,0.0,0.0,1
0.14719292274489615,0,0,0,0.0,0.0,1
0.689914148088202,0,0,0,0.0,0.0,1
0.4862125141900294,0,0,0,0.0,0.0,1
0.6475412278279943,0,0,0,0.0,0.0,1
0.8000509434972601,0,0,0,0.0,0.0,1
0.5568831150091751,0,0,0,0.0,0.0,1
0.21706264886693227,0,0,0,0.0,0.0,1
0.19201419003464376,0,0,0,0.0,0.0,1
0.6438787989690427,0,0,0,0.0,0.0,1
0.39089769696484405,0,0,0,0.0,0.0,1
0.5427831492826775,0,0,0,0.0,0.0,1
0.8282067793343139,0,0,0,0.0,0.0,1
0.9577373695759447,0,0,0,0.0,0.0,1
-0.648461357714981,0,0,0,0.0,0.0,1
-1.002713724795504,0,0,0,0.0,0.0,1
-0.42392645937793744,0,0,0,0.0,0.0,1
0.5537237659288797,0,0,0,0.0,0.0,1
